role,company,description,link
Data Engineer,Sibernetik Integra Data,"Job Description:
Develop and integrate platforms that enable development teams to access infrastructure, tools, and services through self-service capabilities.
Design, build, and maintain data engineering solutions to support business and application requirements.
Develop and maintain automation scripts for infrastructure provisioning, configuration, and management.
Configure, maintain, and optimize Kubernetes clusters to ensure application availability, performance, and reliability.
Support implementation and management of Change Data Capture (CDC) and Kafka-based streaming solutions.
Monitor platform performance and troubleshoot issues to maintain system stability and security.
Support implementation and maintenance of monitoring and logging tools such as Grafana and ELK Stack.
Support CI/CD pipeline implementation and containerization processes using Docker, Kubernetes, and Helm Chart.
Collaborate with cross-functional teams to support application development and system integration.
Ensure platform and data infrastructure align with business needs, particularly within banking product processes.

Requirements:
Minimum Bachelor’s Degree (S1) from a reputable university in:
Computer Engineering
Informatics Engineering
Information Systems
Computer Science
Information Technology
Computer Systems
Management Information Systems
Minimum 3 years of experience as a Data Engineer.
Minimum 3 years of experience in projects or system development involving:
Change Data Capture (CDC)
Apache Kafka
Experience implementing or supporting projects involving:
Grafana
ELK Stack
CI/CD pipelines
Docker / Containerization
Kubernetes
Helm Chart
Strong understanding of Software Development Life Cycle (SDLC) including Waterfall and/or Agile methodologies.
Strong analytical skills with attention to detail.
Strong problem-finding and problem-solving capabilities.
Good understanding of banking product business processes.
Strong teamwork, communication, and interpersonal skills.",https://id.jobstreet.com/id/job/90303733?type=standard&ref=search-standalone&origin=jobCard#sol=a18bac4b21a113a829919edb59b68a3b37374cf0
AI Process Automation,PT CARSURIN Tbk,"Key Responsibilities :
Cross-Division Collaboration & Stakeholder Engagement
Communicate clearly and humbly to understand real pain points on the ground.
Conduct interviews, shadow workflows, and gather structured input.
Process Discovery & AI-Assisted Documentation
Break down existing workflows step-by-step (current state).
Standardize documentation across divisions.
Process Redesign (Future State)
Redesign workflows for clarity, traceability, accountability, and measurable performance.
Validate redesigned processes with relevant divisions before rollout.
Automation Implementation
Develop or deploy automation solutions (scripts, integrations, internal tools).
Integrate AI into workflows for data extraction, validation, document processing, and decision support.
Continuous AI Exploration & Optimization
Stay updated with emerging AI and automation tools.
Proactively identify new use cases to improve efficiency.

Requirements
1.5–3 years experience in software engineering, automation, AI implementation, or process improvement.
Strong structured thinking and analytical ability.
Hands-on programming ability (Python preferred) & experience 1.5 years.
Strong familiarity with AI tools (ChatGPT, Gemini, Claude, etc.).
Ability to communicate clearly and work humbly with diverse teams.
Comfortable operating with ambiguity and minimal instruction.
High ownership mindset and self-driven learner.
Proficient English written and verbal a MUST",https://id.jobstreet.com/id/job/90468825?type=standard&ref=search-standalone&origin=jobCard#sol=d6b8dee0e0266fff47c67ffe246b50feaa18e236
Data Entry Specialist,PT Permata Hijau Makmur,"An Insurance BPO company with global operations is looking for a passionate, detail-oriented individual with English skills and abilities to work as Data Entry Specialist performing tasks such as inputting data into system, insurance operational work & communicating with stakeholders (in English).
Qualifications:
Having good attention to details is mandatory
Excellent verbal and written English skills – please attach copy of your TOEFL/IELTS score, if any
Must have a minimum high school diploma or equivalent (preferably math/engineering/science/accounting/philosophy major)
Must have a minimum 1 year experience as a Full Time Employee (not freelance/internship/part time)
Fast-learner, self-starter and highly motivated
Proficient computer skills
Able to work under tight deadlines in a fast-paced working environment, independently and together as a team
Comfortable in doing meticulous and data-driven tasks
Eager to grow and learn something new
Having good knowledge or experience in data processing of insurance industry is a plus
Willingness to work in night-shift is preferable (allowance is provided)
Interested candidates may send their motivation letter and updated CV (everything must be in English).",https://id.jobstreet.com/id/job/90132689?type=standard&ref=search-standalone&origin=cardTitle#sol=9251bbb9113e795b258725dd8fda639db90d5b4e
Data Scientist,PT Kamoro Maxima Integra,"Role and Responsibilities:
Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.
Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.
Build and scale solutions in cloud environment to deliver clear, actionable insights for leadership and operations teams.
Design, implement, and maintain data-driven tools that solve complex business problems with advanced statistical and analytical methods.
Requirements:
Willingness to travel if required (up to 30%, primarily to mining site)
Strong proficiency in English, both written and verbal.
Minimum Bachelor’s degree in Statistics, Mathematics, Engineering, Physics, or a related field (more advanced degree is a plus).
More than 3 years' experience working as a Data Scientist is mandatory.
Hands-on expertise in predictive modeling (e.g., Regression, Random Forest, Gradient Boosting), time series analysis, NLP, anomaly detection, or survival analysis.
Proficiency in Python and its data science stack for data analysis, visualization, and modeling.
Solid knowledge of SQL and experience with big-data platforms (Snowflake experience is a plus).
Experience with cloud-based ML tools (Azure a big plus).
Proven ability to mentor, collaborate, and grow a high-performing data science team.
Strategic thinker with a proven track record of transforming data into actionable insights that drive decision-making.
Why join Us?
We offer very attractive salary and outstanding benefits.
Most of our clients are multinational company which you will be exposed to a large IT environment and valuable experience in international scale projects.
You will always learn new things as our projects always adopt latest technology and best practice available in the market.
Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here, your soft skill (professional relationships, character, attitude) will grow as fast as your technical skill",https://id.jobstreet.com/id/job/90097110?type=standard&ref=search-standalone#sol=67de016f3932b437bf61ee85e881fc673447e584
Data Engineer,PT ROCKSTAR SPORTS SCHOOL,"Job Descriptions:
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Design, Develop and maintain report used for daily operation, management and analytics
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specifications
Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes 
Build analytics tools that utilize the data pipeline to provide actionable insights
Explore ways to enhance data quality and reliability Explore ways to enhance data quality and reliability
Document all test procedures for systems and processes              
 Job Requirements:
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Advanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on MS SQL
Advanced Knowledge in reporting service tools. Preferably Microsoft SSRS
Advanced Knowledge in ETL / data pipeline applications. Preferably Microsoft SSIS.
Experienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Have an understanding and experience regarding the reporting dashboard and data warehouse concepts
Experienced in object-oriented/object function scripting languages: Python, Java, C#,C++, 
Proficiency in source control i.e. Git.
Got 2+ years of experience in Data Engineering role.
Familiar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition.",https://id.jobstreet.com/id/job/90417124?type=standard&ref=search-standalone&origin=jobCard#sol=98e7171c37fcbfd2c70449947bfc9a0740c6875b
Lead Data Scientist,Coca-Cola Europacific Partners Indonesia,"Are you looking for new challenges and personal growth within Coca-Cola Europacific Partners Indonesia? Then we have a great opportunity for you.
Please attach an updated CV with your application.

The Lead Data Scientist will deliver AI explorations identified via the AI Incubator process across the APS region. This hands-on role requires a data scientist with a commercial or supply chain background and demonstrated experience in using time-series, supervised, and unsupervised machine learning techniques. The candidate's experience in the retail or food and beverage industry will be highly regarded.

Key Responsibilities 
Develop and implement data science solutions leveraging Databricks.
Collaborate with business stakeholders to align AI initiatives with business objectives.
Provide insights and recommendations based on statistical analysis and machine learning.
Stay abreast of advancements in AI and data science and use cases.
Be a trusted advisor to the local business regarding Data Science and AI, its applications, use cases, and limitation

Experience (On the Job)    
Strong understanding of AI explainability and familiarity with techniques such as SHAP values and counterfactual explanations to ensure models are highly explainable and provide expected results.
Strong communication skills for conveying technical insights to stakeholders.
Demonstrated experience in driving value through analytics.
Experience working in large and complex environments.
Familiarity with emerging capabilities within AI such as LLMs, RAGs, and AI agents, and the ability to articulate their use cases and risks.
Experience with the design of artifacts within MLflow to monitor models in production.

Candidate Qualifications / Licences    
PhD or Master’s degree in Machine Learning, Data Science, or a related field.
Proficiency in Spark, Python, SQL, and cloud platforms (e.g., Databricks, Azure).
9+ years of experience in a technical data science role

Behavioural Competencies
Analytical thinking and problem-solving skills.
Strong collaboration and teamwork abilities.
Effective communication and presentation skills.
Adaptability and continuous learning mindset.",https://id.jobstreet.com/id/job/89981416?type=standard&ref=search-standalone&origin=cardTitle#sol=334b6b4b88daa3e8d3207e9e727fa9aef8b8050e
Intern - Data Scientist,PT Pratesis,"Job Accountability:
Define and prioritize the DMS product backlog based on data-driven insights, business value, and user needs.
Translate data models, analytics features (e.g., smart search, automated tagging, predictive analytics), and user behavior insights into clear user stories and technical requirements.
Collaborate with data engineers and developers to build, deploy, and monitor machine learning models integrated into the DMS (e.g., OCR enhancement, document classification, workflow automation)
Validate product increments, oversee A/B testing, and use metrics (e.g., user engagement, processing accuracy) to drive continuous product improvement.
Requirement:
Bachelor’s degree in Data Science, Computer Science, Statistics, or a related quantitative field.
Familiar with ML/AI (NLP, computer vision) and analytics tools (Python, SQL, TensorFlow/PyTorch).
Experience with cloud platforms (AWS/GCP/Azure) and data pipeline tools.
Previous experience or strong understanding of Agile/Scrum methodologies; acting as a Product Owner is a plus.
Excellent communication skills to bridge technical data concepts with business and user requirements.",https://id.jobstreet.com/id/job/90269225?type=standard&ref=search-standalone#sol=94a70aa2f85d2f8e620205607b84e67cd0176f6a
Data Analyst Fleet,Pengiklan Anonim,"Kualifikasi Utama:
Pendidikan minimal S1 (Statistika, Matematika, Teknik Industri, Sistem Informasi, Informatika, atau jurusan terkait)
Pengalaman minimal 1-2 tahun sebagai Data Analyst, diutamakan industri logistik, transportasi, atau fleet
Sangat mahir Excel / Google Sheets dan terbiasa mengolah data kompleks
Berpengalaman membuat dashboard & visualisasi data (Power BI / Tableau / Looker)
Memahami dan menganalisis KPI fleet (utilisasi, BBM, maintenance, downtime, productivity)
Mampu memberikan insight & rekomendasi strategis berbasis data
Terbiasa berkoordinasi dengan tim operasional dan manajemen
Memiliki kemampuan analisis dasar, teliti, dan detail-oriented
Adaptif dan mampu bekerja di lingkungan perusahaan yang dinamis
Memiliki kemauan belajar tinggi dan komunikasi yang baik",https://id.jobstreet.com/id/job/89888429?type=standard&ref=search-standalone&origin=cardTitle#sol=57748f2350158cd8ab40d3c7dddad7dbfe3aea5b
Workplace Analytics Specialist (Psychometrician),PT Aneka Search Indonesia,"We’re Hiring: Psycometrics Analytics Specialist!
Di Peepl, kami percaya keputusan strategis organisasi harus didukung oleh data yang valid dan dapat diinterpretasikan secara tepat.
Kami mencari Psycometrics Analytics Specialist yang mampu memastikan kualitas dan pemanfaatan data psikometri untuk mendukung pengambilan keputusan organisasi berbasis data.
Kualifikasi:
• Pendidikan minimal S2 Psikometri.
• Memiliki pengalaman minimal 5 tahun dalam pengembangan, evaluasi, atau analisis alat   tes psikologi
• Memiliki kemampuan komunikasi yang baik untuk menjelaskan konsep psikometri kepada pemangku kepentingan non-teknis.
• Memiliki kemampuan komunikasi, koordinasi, dan teamwork yang baik.
• Memiliki Sertifikasi Psikometri/Statistik menjadi nilai tambah.
• Pengalaman bekerja di organisasi dengan standar tata kelola dan sistem manajemen mutu (misalnya ISO) menjadi nilai tambah).
Saatnya membawa kemampuan analisis dan insight datamu ke level berikutnya. Apply sekarang!",https://id.jobstreet.com/id/job/90126924?type=standard&ref=search-standalone&origin=jobCard#sol=0ce75724dedbf05c71bf941849ee9708de2fcf74
Data Scientist,PT CRIF Lembaga Informasi Keuangan,"Job Descriptions: 
Analyze credit bureau data, financial transactions, and alternative data sources to extract actionable insights for credit risk and business strategy.
Develop statistical models, dashboards, and visualizations to support risk assessment and portfolio monitoring.
Assist in building and deploying traditional and machine learning models for credit scoring, alternative scoring, and collections analytics.
Collaborate with the Business Consulting team to deliver data-driven recommendations tailored to client objectives.
Contribute to pre-sales efforts by preparing insights, data summaries, and supporting technical discussions with clients.
Ensure data accuracy, integrity, and compliance with relevant credit bureau and regulatory standards.
Support the continuous enhancement of analytics products in alignment with market needs and organizational goals.
Job Requirements:
Minimum 3 years of experience in similar job functions – data management and analytics
Master’s degree in economics, Mathematics, or Statistics
Demonstrate proven proficiency in English
Have the ability to plan, organize, and structure work.
Understand SQL for data management.
Having exposure to Python/R/Pyspark and the ability to utilize ML methods for predictive analytics is a must.
Skilled in productivity applications: Excel, Word, PowerPoint
Showcase good analytical, evaluative and information presentation skills.
Showcase good written and oral communication skills both in English and Bahasa.
Have good interpersonal skills and team spirit as well as the ability to multitask.
Experience in the financial industry, preferably fintech.
Having some knowledge of credit risk analysis/management (credit lifecycle), preferably in personal loans.
Experience in creating and maintaining reports/dashboards for internal/external clients is a plus.
Mandarin is preferred.",https://id.jobstreet.com/id/job/90037922?type=standard&ref=search-standalone&origin=jobCard#sol=2ffd36f03b5bd34566c6422bcde831afaf86560c
Data Engineer - Jakarta,PT. LIPPO KARAWACI TBK,"Key Responsibilities
Build, maintain, and optimize data pipelines (batch & basic streaming).
Ensure data quality, reliability, and performance.
Support data models and datasets for analytics and reporting.
Collaborate with analytics, product, and engineering teams.
Monitor and troubleshoot data pipeline issues.
Document data workflows and technical processes.
Job Qualifications
1–2 years of experience as a Data Engineer or related role.
Strong SQL skills and experience with relational databases.
Proficient in Python (or similar scripting language).
Experience with data warehouses (e.g., BigQuery, Redshift, Snowflake).
Good problem-solving skills and attention to detail.
Strong communication and collaboration skills.",https://id.jobstreet.com/id/job/90216681?type=standard&ref=search-standalone&origin=jobCard#sol=a998a4ea8dc35cf857351abce1b36399d6f29290
IT R&D Intern,PT ASURANSI SIMAS JIWA,"Key Responsibilities:
Conduct research on emerging technologies relevant to the insurance industry (e.g., AI, automation, data analytics, digital platforms).
Develop and test Proof of Concept (PoC) prototypes to validate new digital features or process improvements.
Support innovation initiatives related to underwriting, claims, policy administration, and customer engagement.
Qualifications:
Currently enrolled as an undergraduate student (Bachelor’s degree) in Computer Science, Information Technology, Software Engineering, Data Science, or related fields.
Available to work full-time (5 working days per week).
Basic to intermediate programming skills (e.g., Python, Java, SQL, or other relevant languages).
Strong analytical and problem-solving skills.
Interest in financial services and insurance industry innovation.
Good communication skills and ability to work in a collaborative environment.
Familiarity with data analysis, automation tools, or AI concepts is a plus.",https://id.jobstreet.com/id/job/90300926?type=standard&ref=search-standalone&origin=jobCard#sol=3f78797c7488dab194a244984b96814ef481b7fe
Data Collecting,PT KEHAMILAN SEHAT SEJAHTERA,"Deskripsi Pekerjaan :
Melakukan data collecting dari database
Melakukan data cleansing
Melakukan verifikasi data
Melakukan update data secara daily,monthly
Memastikan template data sesuai dengan kebutuhan
Kualifikasi Pekerjaan :
Lulusan SMK, D3/S1 Segala jurusan (Statistika Matematika diutamakan)
Teliti & Detail Oriented
Problem Solver
Adaptif
Mempunyai keinginan untuk berkembang di bidang data
Menguasai Microsoft Excel khususnya Pivot, Vlookup, Sumif, Countif
Memahami basic SQL seperti Select, Where, Join",https://id.jobstreet.com/id/job/90432332?type=standard&ref=search-standalone#sol=80ce9500af994001c740c6f8413a4018af420fa0
Data Analyst (E-Commerce),Rockbros Cycling Indonesia,"Tentang Kami
Rockbros Cycling Indonesia adalah official distributor produk Rockbros di Indonesia. Kami mengelola berbagai online store di marketplace seperti Shopee, Lazada, TikTok Shop, dan Tokopedia.
Kami sedang mencari Data Analyst yang kuat di data dan memahami dasar keuangan / accounting untuk membantu menganalisa performa online store kami secara menyeluruh.
Tanggung Jawab
Mengumpulkan, mengolah, dan menganalisa data performa online store dari seluruh marketplace.
Membuat laporan performa harian, mingguan, dan bulanan (sales, traffic, conversion rate, campaign).
Menganalisa efektivitas promo, voucher, flash sale, dan iklan berbayar.
Menganalisa performa produk (best seller, slow moving, margin, dan peluang pengembangan).
Melakukan analisa pengeluaran, margin, dan profitabilitas produk atau campaign.
Memberikan rekomendasi berbasis data untuk optimasi harga, stok, dan strategi pemasaran.
Membuat dashboard dan visualisasi data untuk kebutuhan internal dan manajemen.
Berkolaborasi dengan tim e-commerce, marketing, operasional, dan keuangan.
Kualifikasi
Pendidikan minimal D3/S1 di bidang Statistik, Matematika, Data Science, Sistem Informasi, Akuntansi, atau bidang terkait.
Pengalaman minimal 1–2 tahun sebagai Data Analyst, terutama di e-commerce atau marketplace.
Menguasai Microsoft Excel / Google Sheets (advanced).
Memahami metrik e-commerce seperti GMV, AOV, CVR, ROAS, ROI, dan sejenisnya.
Memahami dasar keuangan / accounting, termasuk:
Perhitungan margin & profit
Analisa pengeluaran dan laporan sederhana (P&L basic)
Menguasai SQL, Python, atau BI tools (Looker, Tableau, Power BI) menjadi nilai tambah.
Teliti, analitis, komunikatif, dan mampu bekerja mandiri maupun dalam tim.",https://id.jobstreet.com/id/job/89892290?type=standard&ref=search-standalone&origin=jobCard#sol=bdea863180676ae733cb7f5664b03b0f28b0c0fe
System Administrator (SysAdmin),Halo Robotics,"Halo Robotics adalah perusahaan terkemuka di Indonesia yang menyediakan layanan drone komersial, robot darat (ground robots), dan embodied AI. Kami menyediakan layanan menyeluruh untuk solusi otomasi drone meliputi berbagai industri, termasuk instalasi software automasi On-Premise drone yang diterapkan pada server pelanggan dan jaringan lokal. Pada banyak kasus, kami juga memerlukan koneksi API pada software lain dan alat pemrosesan data yang digunakan oleh customer; data diperoleh secara otomatis oleh drone, diproses secara otomatis oleh software, dan diekspor ke dalam software yang digunakan oleh customer, seluruh proses dilakukan dalam lingkungan server dan jaringan on-premise yang terjaga keamanannya.
System Administrator (SysAdmin) bertanggung jawab atas penyiapan, pengelolaan, dan pemeliharaan infrastruktur server fisik maupun virtual yang mendukung berbagai sistem enterprise dan platform AI berbasis on-premise. Peran ini berfokus pada kesiapan infrastruktur, instalasi sistem operasi, pengelolaan lisensi tingkat server, keamanan sistem, serta memastikan seluruh sistem berjalan stabil dan siap digunakan di lingkungan produksi
Requirements:
Pendidikan minimal S1 di bidang Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau bidang terkait
Berpengalaman sebagai  System Administrator atau Infrastructure Engineer, IT Operations Engineer
Pengalaman kuat dalam:
Linux Server (Ubuntu diutamakan)
Virtualisasi (VMware, Proxmox, Hyper-V)
Manajemen server fisik dan storage
Pengalaman mengelola infrastruktur on-premise dan lisensi tingkat server. 
Pemahaman dasar jaringan (TCP/IP, firewall, VLAN)
Mampu melakukan troubleshooting sistem secara mandiri
Pengalaman dengan sistem surveillance, command center, atau platform AI
Kemampuan scripting dasar (Bash atau PowerShell)
Pemahaman backup, disaster recovery, dan high availability
Berpengalaman dengan: Surveillance systems, Command center platforms, AI / data processing platforms
Bengalaman hybrid cloud environments.
Familiar dengan: Docker / container-based deployments, GPU servers untuk AI workloads (nilai tambah)
Mampu bekerja dan berkoordinasi dengan SysOps dan DevOps
Berpengalaman deployment untuk Government dan Industrial enterprise clients

Job Description:
On-Premise Server & Infrastructure Management
- Merancang dan mengelola on-premise server infrastructure untuk: DJI FlightHub 2 On-Premise dan Robotics & data processing systems (Unitree)
- Instalasi, konfigurasi, dan maintenance: Server fisik dan Storage systems (NAS / SAN / local storage)
- Mengelola lisensi software tingkat server dan enterprise systems.
Virtualization & Platform Management
- Mengelola environment virtualisasi: VMware, Proxmox dan Hyper-V
- Menyusun VM architecture untuk: Application servers, Data processing dan AI workloads
- Monitoring resource usage dan performance optimization
Linux Server Administration
- Memahami administrasi Linux Server (Ubuntu diutamakan): Installation & configuration, Patch management & updates, User & permission management
- Troubleshooting OS-level dan application-level issues.
Mendukung deployment software berbasis Linux untuk robotics dan drone platforms.
Networking & Connectivity
- Konfigurasi dan troubleshooting: TCP/IP, Firewall, VLAN, VPN
- Mendukung konektivitas:
On-premise ↔ cloud
Command center ↔ field systems (drones & robots)
- Bekerja sama dengan tim network klien untuk integrasi ke existing infrastructure
Automation & Scripting
- Mengembangkan scripting dasar menggunakan Bash dan PowerShell untuk: Automation, Maintenance dan Monitoring
Deployment & Technical Support
- Onsite deployment, commissioning, dan handover ke klien.
- Menyusun dokumentasi teknis berupa System architecture dan SOP operasional
- Menjadi escalation point untuk isu infrastruktur tingkat lanjut.",https://id.jobstreet.com/id/job/90042080?type=standard&ref=search-standalone&origin=jobCard#sol=fc80a209c0cc36ffd6619cfb88d589203bf32a65
Data Engineer Associate Manager,Kanmo Group,"Deskripsi Pekerjaan Key Responsibilities: 
Exploratory Data Analysis (EDA): Dive deep into unfamiliar datasets to identify trends, anomalies, and opportunities without needing a roadmap. 
Dashboard Architecture: Design, develop, and maintain automated, scalable visual solutions using Power BI. 
Advanced Querying & Scripting: Write optimized SQL for data extraction and use Python for data cleaning, statistical analysis, and process automation. 
Cross-Functional Collaboration: Act as a data consultant for various departments, translating business requirements into technical specifications. 
Requirements: 
3-4+ years of experience in data related roles. 
Extensive knowledge in Excel or similar. 
Advanced SQL experience. 
Working experience in Python. 
Working experience in Power BI or similar.",https://id.jobstreet.com/id/job/90471569?type=standard&ref=search-standalone#sol=35a9423178131eb56a7e7b0e450480e09a9aba37
Data Governance,PT Sigma Cipta Utama,"Kualifikasi :
Pendidikan minimal Sarjana S1 Teknik Informatika/Ilmu Komputer/Software Engineering atau setara.
Memiliki pengalaman kerja minimal 5 tahun project digital transformation, pengembangan aplikasi IT/Data Integration/Data Warehouse/Machine Learning secara penuh dari fase project initiation, planning, execution, monitoring hingga project closing.
Berpengalaman dalam merencanakan, merancang, dan mengimplementasikan integrated data governance dan data management pada project digital innovation maupun business process transformation. Preferable jika dapat dibuktikan dengan portfolio.
Menguasai DMBOK (Data Management body of Knowledge), kerangka kerja data governance (metadata, data lineage, data quality, data stewardship, master data). Preferable jika dapat dibuktikan dengan sertifikat CDMP (Certified Data Management Professionals).
Menguasai dan berpengalaman dengan data governance tools dan databases (SQL). Preferable jika dapat dibuktikan dengan portofolio.
Menguasai kemampuan komunikasi yang sangat baik terhadap seluruh level organisasi.",https://id.jobstreet.com/id/job/90301221?type=standard&ref=search-standalone#sol=e00fd5e9054ca881569727f40e638c61d021e120
IT Programming Internship,PT. Kalbe Farma Tbk. (International Division),"IT Intern (Programming)
Job Descriptions :
Learning & Developing Web and Mobile Applications with framework React programming.
Requirements :
Candidate must be in last semester or waiting for final thesis
No work experience required
Candidate must be available at least 6 months period for internship
Available for a full-time internship from Monday to Friday with hybrid working schedule
Fast learner, having a good analytical thinking, leadership, communication and teamwork
Placement: Pulomas, East Jakarta",https://id.jobstreet.com/id/job/89927569?type=standard&ref=search-standalone&origin=jobCard#sol=ca4772f82cba25551f8e55b9a6fce0179e1796c8
Senior Data Analyst – P2P Lending,PT Anugerah Digital Indonesia,"SOLUSIKU is a fast-growing P2P Lending platform committed to providing innovative and responsible financial solutions.
We are looking for an experienced Senior Data Analyst to join our growing fintech team and play a key role in strengthening data-driven decision making, credit risk analytics, and portfolio performance within our P2P Lending business.
Key Responsibilities
·Collect, process, and validate large-scale data from multiple sources while ensuring data integrity and accuracy
Develop, maintain, and optimize databases and data systems to improve accessibility and usability
Perform in-depth analysis of lending and borrower data to identify trends, patterns, and strategic insights
Apply statistical methods and advanced analytics to generate actionable business recommendations
Analyze borrower profiles to assess creditworthiness and predict loan default probabilities
Develop and enhance credit risk models and mitigation strategies to improve portfolio performance
Collaborate closely with Head Office MIS teams regarding database utilization and data governance
Prepare and deliver ad-hoc analytical reports required by management
 Qualifications
Bachelor’s degree or above in Data Science, Statistics, Finance, Economics, Computer Science, or a related field.
Proficiency in data analysis tools and languages such as SQL, Python, R, and Excel
Experience with data visualization tools like Tableau, Power BI, or similar platforms
Familiarity with database management systems and big data technologies (e.g., Hadoop, Spark).
Strong analytical and problem-solving skills, with attention to detail
Ability to interpret complex data sets and translate findings into actionable insights.
Excellent verbal and written communication skills, with the ability to present data clearly
Ability to collaborate effectively with cross-functional team
2-5 years experience in data analysis; preferably in the financial services or fintech industry
Prior experience in P2P lending or credit risk analysis is highly desirable",https://id.jobstreet.com/id/job/90406468?type=standard&ref=search-standalone#sol=4d7891aa338e1033d8a277089ddaf87a313d05fd
Data Analyst Developer,PT Kinarya Alihdaya Mandiri,"Requirement:
- Pendidikan minimal D3/S1 di bidang Teknologi Informasi, Sistem Informasi, Statistik, atau terkait
- Familiar dengan framework web development (ReactJS/NodeJS/Lainnya)
- Pengalaman dalam data processing, reporting, dan automation tools (Hive, Spark, SQL, Python, Power BI, Excel)
- Pengalaman pengaolahan data di RDBMS
- Mampu bekerja dengan deadline ketat dan menangani permintaan data mendadak
- Ber-integritas, komunikatif, detail-oriented, dan mampu bekerja dalam tim maupun secara mandiri

Jobdesc:
- Mengembangkan aplikasi Dashboard dan Reporting berbasis web menggunakan framework populer (*ReactJS, NodeJS*, dan lainnya)
- Mengembangkan tools otomatisasi reporting
- Mengembangkan automation script untuk proses data (load, concat, refresh, dump)
- Melakukan pengolahan data: data cleaning, transformation, integrasi dari berbagai sumber, serta implementasi ETL pipeline
- Menangani permintaan data dari tim internal dan melakukan maintenance dan update laporan rutin
- Membuat dan memperbaiki visualisasi laporan (Excel, Power BI, presentasi) agar lebih informatif dan mudah dipahami
- Memanfaatkan AI tools (ChatGPT & Copilot) untuk ideasi, debugging, optimasi script dan design visual
- Menggunakan Python (Pandas, NumPy, Matplotlib, Scikit-learn) untuk analisis, visualisasi, dan otomatisasi pengolahan data
- Melakukan pengolahan data di RDBMS berbasis MySql, Postgre, Hive",https://id.jobstreet.com/id/job/90120551?type=standard&ref=search-standalone&origin=jobCard#sol=9a9d6e6d1fb607954d1869be9df11cb0c01c0a4d
BI & Data Management Officer,PT.Global Papua Abadi,"Job Responsibilities
Manage and maintain the company master data to ensure accuracy, consistency, and proper control.
Execute master data creation, modification, and deactivation processes.
Ensure master data synchronization across multiple applications and systems.
Maintain data quality by preventing duplication, errors, and inconsistencies.
Develop and maintain data documentation, including data definitions and data dictionaries.
Create Business Intelligence (BI) reports using valid and reliable data.
Job Requirements
Bachelor’s degree (S1) in Information Systems, Computer Science, Statistics, or a related field.
Minimum 3 years of experience in Business Intelligence, Data Management, or ERP-related roles.
Strong understanding of Master Data Management concepts and their impact on business processes.
Proficient in SQL.
Experienced with BI tools such as Power BI, Tableau, or similar platforms.
Experience in plantation, mining, manufacturing, or large-scale operational industries is a strong advantage.",https://id.jobstreet.com/id/job/89895001?type=standard&ref=search-standalone&origin=jobCard#sol=d7e6c3a8784dd242948ffcdddad9450082889ee7
Data Analyst Developer,PT Kinarya Alihdaya Mandiri,"Requirement:
- Pendidikan minimal D3/S1 di bidang Teknologi Informasi, Sistem Informasi, Statistik, atau terkait
- Familiar dengan framework web development (ReactJS/NodeJS/Lainnya)
- Pengalaman dalam data processing, reporting, dan automation tools (Hive, Spark, SQL, Python, Power BI, Excel)
- Pengalaman pengaolahan data di RDBMS
- Mampu bekerja dengan deadline ketat dan menangani permintaan data mendadak
- Ber-integritas, komunikatif, detail-oriented, dan mampu bekerja dalam tim maupun secara mandiri

Jobdesc:
- Mengembangkan aplikasi Dashboard dan Reporting berbasis web menggunakan framework populer (*ReactJS, NodeJS*, dan lainnya)
- Mengembangkan tools otomatisasi reporting
- Mengembangkan automation script untuk proses data (load, concat, refresh, dump)
- Melakukan pengolahan data: data cleaning, transformation, integrasi dari berbagai sumber, serta implementasi ETL pipeline
- Menangani permintaan data dari tim internal dan melakukan maintenance dan update laporan rutin
- Membuat dan memperbaiki visualisasi laporan (Excel, Power BI, presentasi) agar lebih informatif dan mudah dipahami
- Memanfaatkan AI tools (ChatGPT & Copilot) untuk ideasi, debugging, optimasi script dan design visual
- Menggunakan Python (Pandas, NumPy, Matplotlib, Scikit-learn) untuk analisis, visualisasi, dan otomatisasi pengolahan data
- Melakukan pengolahan data di RDBMS berbasis MySql, Postgre, Hive",https://id.jobstreet.com/id/job/90120551?type=standard&ref=search-standalone&origin=cardTitle#sol=9a9d6e6d1fb607954d1869be9df11cb0c01c0a4d
